,perp_sex,latitude,arrest_precinct,age_group,law_code,arrest_boro,longitude,ofns_desc,perp_race,law_cat_cd,geometry,arrest_zipcode,ofns_cat,near_school,severe,Zipcode,Zip Radius,Population,Population Density,Land Area,Water Area,Zip Home Value,Zip Income
0,M,40.733876,6,18-24,PL 1600500,M,-74.005428,ROBBERY,BLACK,F,POINT (982745.6844484449 206647.44733067378),10014,Robbery,False,True,10014,1.0,31959.0,56119.0,0.57,0.0,947300.0,108483.0
1,M,40.726284,105,25-44,PL 1553008,Q,-73.73476,GRAND LARCENY OF MOTOR VEHICLE,BLACK,F,POINT (1057766.8586192124 203992.70104384725),11428,Larceny,True,True,11428,0.9659090909090909,19168.0,23021.0,0.83,0.0,407700.0,69330.0
2,F,40.733729,110,18-24,PL 1552500,Q,-73.871197,PETIT LARCENY,WHITE HISPANIC,M,POINT (1019946.5205865841 206620.08810300598),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
3,M,40.695404,84,45-64,PL 1600500,K,-73.983239,ROBBERY,WHITE HISPANIC,F,POINT (988897.8243213419 192631.3246128364),11240,Robbery,False,True,11240,,,,,,,
4,M,40.733876,6,<18,PL 1601504,M,-74.005428,ROBBERY,BLACK HISPANIC,F,POINT (982745.6844484449 206647.44733067378),10014,Robbery,False,True,10014,1.0,31959.0,56119.0,0.57,0.0,947300.0,108483.0
5,M,40.644996,120,25-44,PL 2653702,S,-74.077263,DANGEROUS WEAPONS,BLACK,M,POINT (962808.7788019167 174275.26945631948),10301,Weapons,False,False,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
6,M,40.734955,110,45-64,PL 1552500,Q,-73.874983,PETIT LARCENY,BLACK,M,POINT (1018896.6301107805 207065.2378079015),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
7,M,40.84424,49,25-44,PL 12005A3,B,-73.839868,FELONY ASSAULT,WHITE HISPANIC,F,POINT (1028555.4422198202 246897.29838187093),10461,Assault,False,True,10461,1.0,50502.0,21045.0,2.4,0.0,454700.0,52347.0
8,F,40.853985,34,25-44,PL 1201500,M,-73.934883,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (1002263.9896108635 250413.97086048732),10033,Assault,False,False,10033,1.0,53926.0,89201.0,0.6,0.0,422100.0,41556.0
9,M,40.733539,6,25-44,PL 2053000,M,-74.002113,OFFENSES AGAINST PUBLIC ADMINI,BLACK,M,POINT (983664.4003614478 206524.6281114955),10012,Miscellaneous,False,False,10012,0.5681818181818182,24090.0,74517.0,0.32,0.0,1000001.0,86594.0
10,M,40.609123,62,25-44,PL 1552500,K,-74.000338,PETIT LARCENY,ASIAN / PACIFIC ISLANDER,M,POINT (984156.1513267468 161196.324582013),11214,Larceny,False,False,11214,2.0,88630.0,40566.0,2.18,0.0,598800.0,43398.0
11,F,40.74350663,110,45-64,PL 1200502,Q,-73.85155164,FELONY ASSAULT,WHITE HISPANIC,F,POINT (1025385.0025907548 210190.99898444084),11368,Assault,False,True,11368,1.0,109931.0,41768.0,2.63,0.04,480900.0,45964.0
12,M,40.601713,62,25-44,PL 2200601,K,-73.993431,DANGEROUS DRUGS,WHITE HISPANIC,F,POINT (986074.1430828598 158496.73852115133),11214,Drugs,False,True,11214,2.0,88630.0,40566.0,2.18,0.0,598800.0,43398.0
